term1,term2,count
of star,evaporation,1
of star,formation,0
of star,air,0
of star,cycle,0
of star,current,0
of star,arc,9
of star,vacuum,0
of star,bubble,0
of star,temperature,1
of star,copper,1
of star,power,10
of star,map,0
of star,n star,0
of star,url,0
of star,filter,1
of star,cs,0
of star,ethane,4
of star,ratio,4
of star,me star,0
of star,source,10
of star,lithium,0
of star,coupling,2
of star,w-,0
of star,function,1
of star,tin,10
of star,oxygen,1
of star,glass,0
of star,comparison,2
of star,pressure,9
of star,water,3
of star,graph,8
of star,sodium,4
of star,unit,0
of star,methane,4
of star,position,0
of star,potassium,1
of star,mass,0
of star,origin,0
of star,f star,10
of star,error,0
of star,spectroscopy,1
of star,design,0
of star,g star,0
of star,gas,3
of star,flux,1
of star,microwave,0
of star,caesium,1
of star,nitrogen,2
of star,s star,1
of star,volatile,1
of star,intensity,1
of star,interaction,1
of star,iron,1
of star,time,0
of star,boron,5
of star,age,0
period,o star,0
period,ring,1
period,ammonia,0
period,bromine,0
period,ion,1
period,carbon,1
period,electron,0
period,palladium,0
period,proton,0
period,of star,0
period,testing,0
period,magnesium,0
period,ray,1
period,analysis,0
period,system,0
period,spectrum,0
period,he i,0
period,argon,1
period,red star,0
period,evaporation,0
period,formation,0
period,air,0
period,cycle,0
period,current,0
period,arc,0
period,vacuum,0
period,bubble,0
period,temperature,1
period,copper,0
period,power,1
period,map,0
period,n star,0
period,url,0
period,filter,1
period,cs,0
period,ethane,0
period,ratio,0
period,me star,0
period,source,1
period,lithium,0
period,coupling,0
period,w-,0
period,function,0
period,tin,1
period,oxygen,0
period,glass,0
period,comparison,0
period,pressure,0
period,water,1
period,graph,0
period,sodium,1
period,unit,0
period,methane,0
period,position,1
period,potassium,0
period,mass,0
period,origin,0
period,f star,0
period,error,0
period,spectroscopy,0
period,design,0
period,g star,0
period,gas,0
period,flux,1
period,microwave,0
period,caesium,0
period,nitrogen,0
period,s star,0
period,volatile,0
period,intensity,0
period,interaction,0
period,iron,0
period,time,1
period,boron,0
period,age,1
testing,o star,0
testing,ring,1
testing,ammonia,0
testing,bromine,0
testing,ion,1
testing,carbon,1
testing,electron,0
testing,palladium,0
testing,proton,0
testing,of star,0
testing,period,0
testing,magnesium,0
testing,ray,1
testing,analysis,0
testing,system,0
testing,spectrum,0
testing,he i,0
testing,argon,1
testing,red star,0
testing,evaporation,0
testing,formation,0
testing,air,0
testing,cycle,0
testing,current,0
testing,arc,0
testing,vacuum,0
testing,bubble,0
testing,temperature,0
testing,copper,0
testing,power,1
testing,map,0
testing,n star,0
testing,url,0
testing,filter,0
testing,cs,0
testing,ethane,0
testing,ratio,1
testing,me star,0
testing,source,1
testing,lithium,0
testing,coupling,0
testing,w-,0
testing,function,0
testing,tin,1
testing,oxygen,0
testing,glass,0
testing,comparison,0
testing,pressure,0
testing,water,0
testing,graph,0
testing,sodium,0
testing,unit,0
testing,methane,0
testing,position,0
testing,potassium,0
testing,mass,0
testing,origin,0
testing,f star,0
testing,error,0
testing,spectroscopy,0
testing,design,0
testing,g star,0
testing,gas,1
testing,flux,0
testing,microwave,1
testing,caesium,0
testing,nitrogen,0
testing,s star,0
testing,volatile,0
testing,intensity,0
testing,interaction,0
testing,iron,0
testing,time,0
testing,boron,1
testing,age,0
magnesium,o star,0
magnesium,ring,4
magnesium,ammonia,0
magnesium,bromine,1
magnesium,ion,5
magnesium,carbon,4
magnesium,electron,0
magnesium,palladium,0
magnesium,proton,0
magnesium,of star,0
magnesium,period,0
magnesium,testing,0
magnesium,ray,3
magnesium,analysis,0
magnesium,system,0
magnesium,spectrum,0
magnesium,he i,0
magnesium,argon,3
magnesium,red star,0
magnesium,evaporation,0
magnesium,formation,0
magnesium,air,0
magnesium,cycle,0
magnesium,current,0
magnesium,arc,0
magnesium,vacuum,0
magnesium,bubble,0
magnesium,temperature,3
magnesium,copper,0
magnesium,power,5
magnesium,map,1
magnesium,n star,0
magnesium,url,1
magnesium,filter,3
magnesium,cs,3
magnesium,ethane,1
magnesium,ratio,1
magnesium,me star,0
magnesium,source,5
magnesium,lithium,1
magnesium,coupling,1
magnesium,w-,0
magnesium,function,0
magnesium,tin,3
magnesium,oxygen,0
magnesium,glass,0
magnesium,comparison,0
magnesium,pressure,0
magnesium,water,2
magnesium,graph,1
magnesium,sodium,4
magnesium,unit,0
magnesium,methane,1
magnesium,position,1
magnesium,potassium,0
magnesium,mass,0
magnesium,origin,0
magnesium,f star,0
magnesium,error,0
magnesium,spectroscopy,0
magnesium,design,0
magnesium,g star,0
magnesium,gas,0
magnesium,flux,3
magnesium,microwave,0
magnesium,caesium,0
magnesium,nitrogen,0
magnesium,s star,0
magnesium,volatile,0
magnesium,intensity,0
magnesium,interaction,0
magnesium,iron,0
magnesium,time,5
magnesium,boron,0
magnesium,age,0
ray,o star,0
ray,ring,18
ray,ammonia,0
ray,bromine,11
ray,ion,18
ray,carbon,7
ray,electron,0
ray,palladium,0
ray,proton,0
ray,of star,0
ray,period,1
ray,testing,1
ray,magnesium,3
ray,analysis,0
ray,system,0
ray,spectrum,0
ray,he i,1
ray,argon,5
ray,red star,0
ray,evaporation,0
ray,formation,0
ray,air,2
ray,cycle,0
ray,current,0
ray,arc,7
ray,vacuum,1
ray,bubble,0
ray,temperature,17
ray,copper,0
ray,power,18
ray,map,0
ray,n star,1
ray,url,0
ray,filter,15
ray,cs,12
ray,ethane,0
ray,ratio,5
ray,me star,0
ray,source,18
ray,lithium,0
ray,coupling,6
ray,w-,0
ray,function,0
ray,tin,18
ray,oxygen,0
ray,glass,1
ray,comparison,0
ray,pressure,2
ray,water,4
ray,graph,0
ray,sodium,12
ray,unit,1
ray,methane,0
ray,position,4
ray,potassium,2
ray,mass,1
ray,origin,1
ray,f star,0
ray,error,1
ray,spectroscopy,0
ray,design,0
ray,g star,0
ray,gas,3
ray,flux,4
ray,microwave,2
ray,caesium,0
ray,nitrogen,0
ray,s star,0
ray,volatile,0
ray,intensity,0
ray,interaction,0
ray,iron,0
ray,time,5
ray,boron,3
ray,age,4
analysis,o star,1
analysis,ring,2
analysis,ammonia,2
analysis,bromine,1
analysis,ion,4
analysis,carbon,1
analysis,electron,0
analysis,palladium,1
analysis,proton,0
analysis,of star,3
analysis,period,0
analysis,testing,0
analysis,magnesium,0
analysis,ray,0
analysis,system,0
analysis,spectrum,2
analysis,he i,0
analysis,argon,0
analysis,red star,1
analysis,evaporation,1
analysis,formation,0
analysis,air,0
analysis,cycle,0
analysis,current,0
analysis,arc,3
analysis,vacuum,0
analysis,bubble,0
analysis,temperature,0
analysis,copper,1
analysis,power,4
analysis,map,0
analysis,n star,0
analysis,url,0
analysis,filter,0
analysis,cs,0
analysis,ethane,3
analysis,ratio,3
analysis,me star,0
analysis,source,4
analysis,lithium,0
analysis,coupling,1
analysis,w-,0
analysis,function,0
analysis,tin,4
analysis,oxygen,0
analysis,glass,0
analysis,comparison,1
analysis,pressure,4
analysis,water,1
analysis,graph,4
analysis,sodium,1
analysis,unit,0
analysis,methane,3
analysis,position,0
analysis,potassium,0
analysis,mass,0
analysis,origin,0
analysis,f star,3
analysis,error,0
analysis,spectroscopy,1
analysis,design,0
analysis,g star,0
analysis,gas,0
analysis,flux,0
analysis,microwave,0
analysis,caesium,1
analysis,nitrogen,1
analysis,s star,1
analysis,volatile,2
analysis,intensity,1
analysis,interaction,0
analysis,iron,0
analysis,time,0
analysis,boron,1
analysis,age,0
system,o star,0
system,ring,0
system,ammonia,0
system,bromine,0
system,ion,2
system,carbon,0
system,electron,0
system,palladium,0
system,proton,0
system,of star,0
system,period,0
system,testing,0
system,magnesium,0
system,ray,0
system,analysis,0
system,spectrum,0
system,he i,0
system,argon,0
system,red star,0
system,evaporation,0
system,formation,0
system,air,0
system,cycle,0
system,current,0
system,arc,2
system,vacuum,0
system,bubble,0
system,temperature,0
system,copper,0
system,power,2
system,map,0
system,n star,0
system,url,0
system,filter,0
system,cs,0
system,ethane,0
system,ratio,0
system,me star,0
system,source,2
system,lithium,0
system,coupling,2
system,w-,0
system,function,0
system,tin,0
system,oxygen,0
system,glass,0
system,comparison,0
system,pressure,0
system,water,2
system,graph,0
system,sodium,0
system,unit,0
system,methane,0
system,position,0
system,potassium,2
system,mass,0
system,origin,0
system,f star,0
system,error,0
system,spectroscopy,0
system,design,0
system,g star,0
system,gas,2
system,flux,2
system,microwave,0
system,caesium,0
system,nitrogen,0
system,s star,0
system,volatile,0
system,intensity,0
system,interaction,0
system,iron,0
system,time,0
system,boron,2
system,age,0
spectrum,o star,0
spectrum,ring,2
spectrum,ammonia,4
spectrum,bromine,2
spectrum,ion,10
spectrum,carbon,5
spectrum,electron,0
spectrum,palladium,0
spectrum,proton,1
spectrum,of star,4
spectrum,period,0
spectrum,testing,0
spectrum,magnesium,0
spectrum,ray,0
spectrum,analysis,2
spectrum,system,0
spectrum,he i,1
spectrum,argon,0
spectrum,red star,4
spectrum,evaporation,1
spectrum,formation,1
spectrum,air,0
spectrum,cycle,0
spectrum,current,0
spectrum,arc,9
spectrum,vacuum,0
spectrum,bubble,0
spectrum,temperature,1
spectrum,copper,0
spectrum,power,10
spectrum,map,0
spectrum,n star,0
spectrum,url,0
spectrum,filter,5
spectrum,cs,0
spectrum,ethane,4
spectrum,ratio,4
spectrum,me star,0
spectrum,source,10
spectrum,lithium,0
spectrum,coupling,4
spectrum,w-,0
spectrum,function,0
spectrum,tin,8
spectrum,oxygen,0
spectrum,glass,0
spectrum,comparison,1
spectrum,pressure,9
spectrum,water,2
spectrum,graph,9
spectrum,sodium,3
spectrum,unit,0
spectrum,methane,4
spectrum,position,1
spectrum,potassium,5
spectrum,mass,0
spectrum,origin,0
spectrum,f star,4
spectrum,error,0
spectrum,spectroscopy,0
spectrum,design,0
spectrum,g star,0
spectrum,gas,6
spectrum,flux,1
spectrum,microwave,0
spectrum,caesium,0
spectrum,nitrogen,0
spectrum,s star,0
spectrum,volatile,1
spectrum,intensity,0
spectrum,interaction,1
spectrum,iron,1
spectrum,time,0
spectrum,boron,6
spectrum,age,0
he i,o star,0
he i,ring,1
he i,ammonia,2
he i,bromine,1
he i,ion,3
he i,carbon,2
he i,electron,0
he i,palladium,0
he i,proton,0
he i,of star,0
he i,period,0
he i,testing,0
he i,magnesium,0
he i,ray,1
he i,analysis,0
he i,system,0
he i,spectrum,1
he i,argon,0
he i,red star,0
he i,evaporation,0
he i,formation,0
he i,air,0
he i,cycle,1
he i,current,0
he i,arc,2
he i,vacuum,0
he i,bubble,0
he i,temperature,1
he i,copper,0
he i,power,3
he i,map,0
he i,n star,1
he i,url,0
he i,filter,2
he i,cs,1
he i,ethane,2
he i,ratio,0
he i,me star,0
he i,source,3
he i,lithium,0
he i,coupling,1
he i,w-,0
he i,function,0
he i,tin,2
he i,oxygen,0
he i,glass,0
he i,comparison,0
he i,pressure,2
he i,water,2
he i,graph,2
he i,sodium,1
he i,unit,0
he i,methane,2
he i,position,0
he i,potassium,2
he i,mass,1
he i,origin,1
he i,f star,0
he i,error,0
he i,spectroscopy,0
he i,design,0
he i,g star,0
he i,gas,2
he i,flux,0
he i,microwave,0
he i,caesium,0
he i,nitrogen,0
he i,s star,0
he i,volatile,0
he i,intensity,0
he i,interaction,0
he i,iron,0
he i,time,1
he i,boron,2
he i,age,1
argon,o star,0
argon,ring,7
argon,ammonia,2
argon,bromine,1
argon,ion,11
argon,carbon,10
argon,electron,0
argon,palladium,2
argon,proton,0
argon,of star,1
argon,period,1
argon,testing,1
argon,magnesium,3
argon,ray,5
argon,analysis,0
argon,system,0
argon,spectrum,0
argon,he i,0
argon,red star,0
argon,evaporation,0
argon,formation,2
argon,air,0
argon,cycle,0
argon,current,0
argon,arc,1
argon,vacuum,0
argon,bubble,1
argon,temperature,4
argon,copper,0
argon,power,11
argon,map,0
argon,n star,0
argon,url,0
argon,filter,8
argon,cs,3
argon,ethane,2
argon,ratio,1
argon,me star,0
argon,source,11
argon,lithium,0
argon,coupling,1
argon,w-,0
argon,function,0
argon,tin,6
argon,oxygen,0
argon,glass,0
argon,comparison,0
argon,pressure,4
argon,water,3
argon,graph,5
argon,sodium,5
argon,unit,0
argon,methane,2
argon,position,3
argon,potassium,4
argon,mass,0
argon,origin,0
argon,f star,1
argon,error,0
argon,spectroscopy,0
argon,design,0
argon,g star,0
argon,gas,6
argon,flux,6
argon,microwave,3
argon,caesium,0
argon,nitrogen,1
argon,s star,0
argon,volatile,0
argon,intensity,0
argon,interaction,0
argon,iron,0
argon,time,5
argon,boron,7
argon,age,1
red star,o star,0
red star,ring,1
red star,ammonia,3
red star,bromine,2
red star,ion,6
red star,carbon,0
red star,electron,0
red star,palladium,0
red star,proton,0
red star,of star,3
red star,period,0
red star,testing,0
red star,magnesium,0
red star,ray,0
red star,analysis,1
red star,system,0
red star,spectrum,4
red star,he i,0
red star,argon,0
red star,evaporation,0
red star,formation,0
red star,air,0
red star,cycle,0
red star,current,0
red star,arc,6
red star,vacuum,0
red star,bubble,0
red star,temperature,1
red star,copper,0
red star,power,6
red star,map,0
red star,n star,0
red star,url,0
red star,filter,0
red star,cs,0
red star,ethane,3
red star,ratio,3
red star,me star,0
red star,source,6
red star,lithium,0
red star,coupling,0
red star,w-,0
red star,function,0
red star,tin,6
red star,oxygen,0
red star,glass,0
red star,comparison,0
red star,pressure,5
red star,water,1
red star,graph,5
red star,sodium,3
red star,unit,0
red star,methane,3
red star,position,0
red star,potassium,0
red star,mass,0
red star,origin,0
red star,f star,3
red star,error,0
red star,spectroscopy,0
red star,design,0
red star,g star,0
red star,gas,1
red star,flux,1
red star,microwave,0
red star,caesium,0
red star,nitrogen,0
red star,s star,0
red star,volatile,1
red star,intensity,0
red star,interaction,0
red star,iron,0
red star,time,0
red star,boron,1
red star,age,0
evaporation,o star,0
evaporation,ring,1
evaporation,ammonia,0
evaporation,bromine,1
evaporation,ion,1
evaporation,carbon,0
evaporation,electron,0
evaporation,palladium,0
evaporation,proton,0
evaporation,of star,1
evaporation,period,0
evaporation,testing,0
evaporation,magnesium,0
evaporation,ray,0
evaporation,analysis,1
evaporation,system,0
evaporation,spectrum,1
evaporation,he i,0
evaporation,argon,0
evaporation,red star,0
evaporation,formation,0
evaporation,air,0
evaporation,cycle,0
evaporation,current,0
evaporation,arc,0
evaporation,vacuum,0
evaporation,bubble,0
evaporation,temperature,0
evaporation,copper,0
evaporation,power,1
evaporation,map,0
evaporation,n star,0
evaporation,url,0
evaporation,filter,0
evaporation,cs,0
evaporation,ethane,0
evaporation,ratio,1
evaporation,me star,0
evaporation,source,1
evaporation,lithium,0
evaporation,coupling,0
evaporation,w-,0
evaporation,function,0
evaporation,tin,1
evaporation,oxygen,0
evaporation,glass,0
evaporation,comparison,1
evaporation,pressure,1
evaporation,water,1
evaporation,graph,1
evaporation,sodium,1
evaporation,unit,0
evaporation,methane,0
evaporation,position,0
evaporation,potassium,0
evaporation,mass,0
evaporation,origin,0
evaporation,f star,1
evaporation,error,0
evaporation,spectroscopy,0
evaporation,design,0
evaporation,g star,0
evaporation,gas,0
evaporation,flux,0
evaporation,microwave,0
evaporation,caesium,0
evaporation,nitrogen,0
evaporation,s star,0
evaporation,volatile,0
evaporation,intensity,0
evaporation,interaction,0
evaporation,iron,0
evaporation,time,0
evaporation,boron,0
evaporation,age,0
formation,o star,0
formation,ring,1
formation,ammonia,0
formation,bromine,0
formation,ion,4
formation,carbon,2
formation,electron,1
formation,palladium,1
formation,proton,0
formation,of star,0
formation,period,0
formation,testing,0
formation,magnesium,0
formation,ray,0
formation,analysis,0
formation,system,0
