term1,term2,count
column chromatography,recrystallisation,0
column chromatography,mixture,37
column chromatography,spectroscopy,1
column chromatography,flash chromatography,0
column chromatography,chromatograph,38
column chromatography,concentration,1
column chromatography,washing,1
function,risk assessment,0
function,distillation,0
function,chromatography,1
function,extraction,0
function,spectrum,0
function,evaporation,0
function,matrix,0
function,purification,0
function,stirring,1
function,column chromatography,1
function,crystallisation,0
function,solubility,0
function,recrystallisation,0
function,mixture,1
function,spectroscopy,0
function,flash chromatography,0
function,chromatograph,1
function,concentration,0
function,washing,0
crystallisation,risk assessment,0
crystallisation,distillation,0
crystallisation,chromatography,0
crystallisation,extraction,0
crystallisation,spectrum,0
crystallisation,evaporation,0
crystallisation,matrix,0
crystallisation,purification,1
crystallisation,stirring,1
crystallisation,column chromatography,0
crystallisation,function,0
crystallisation,solubility,0
crystallisation,recrystallisation,1
crystallisation,mixture,1
crystallisation,spectroscopy,0
crystallisation,flash chromatography,0
crystallisation,chromatograph,0
crystallisation,concentration,0
crystallisation,washing,0
solubility,risk assessment,0
solubility,distillation,0
solubility,chromatography,3
solubility,extraction,0
solubility,spectrum,0
solubility,evaporation,0
solubility,matrix,0
solubility,purification,1
solubility,stirring,1
solubility,column chromatography,3
solubility,function,0
solubility,crystallisation,0
solubility,recrystallisation,0
solubility,mixture,5
solubility,spectroscopy,0
solubility,flash chromatography,0
solubility,chromatograph,3
solubility,concentration,0
solubility,washing,0
recrystallisation,risk assessment,0
recrystallisation,distillation,0
recrystallisation,chromatography,0
recrystallisation,extraction,0
recrystallisation,spectrum,0
recrystallisation,evaporation,0
recrystallisation,matrix,0
recrystallisation,purification,1
recrystallisation,stirring,1
recrystallisation,column chromatography,0
recrystallisation,function,0
recrystallisation,crystallisation,1
recrystallisation,solubility,0
recrystallisation,mixture,1
recrystallisation,spectroscopy,0
recrystallisation,flash chromatography,0
recrystallisation,chromatograph,0
recrystallisation,concentration,0
recrystallisation,washing,0
mixture,risk assessment,2
mixture,distillation,1
mixture,chromatography,38
mixture,extraction,1
mixture,spectrum,10
mixture,evaporation,1
mixture,matrix,0
mixture,purification,7
mixture,stirring,15
mixture,column chromatography,37
mixture,function,1
mixture,crystallisation,1
mixture,solubility,5
mixture,recrystallisation,1
mixture,spectroscopy,1
mixture,flash chromatography,1
mixture,chromatograph,38
mixture,concentration,1
mixture,washing,2
spectroscopy,risk assessment,0
spectroscopy,distillation,0
spectroscopy,chromatography,1
spectroscopy,extraction,0
spectroscopy,spectrum,0
spectroscopy,evaporation,0
spectroscopy,matrix,0
spectroscopy,purification,0
spectroscopy,stirring,0
spectroscopy,column chromatography,1
spectroscopy,function,0
spectroscopy,crystallisation,0
spectroscopy,solubility,0
spectroscopy,recrystallisation,0
spectroscopy,mixture,1
spectroscopy,flash chromatography,0
spectroscopy,chromatograph,1
spectroscopy,concentration,0
spectroscopy,washing,0
flash chromatography,risk assessment,0
flash chromatography,distillation,0
flash chromatography,chromatography,1
flash chromatography,extraction,0
flash chromatography,spectrum,0
flash chromatography,evaporation,0
flash chromatography,matrix,0
flash chromatography,purification,0
flash chromatography,stirring,0
flash chromatography,column chromatography,0
flash chromatography,function,0
flash chromatography,crystallisation,0
flash chromatography,solubility,0
flash chromatography,recrystallisation,0
flash chromatography,mixture,1
flash chromatography,spectroscopy,0
flash chromatography,chromatograph,1
flash chromatography,concentration,0
flash chromatography,washing,0
chromatograph,risk assessment,2
chromatograph,distillation,0
chromatograph,chromatography,39
chromatograph,extraction,1
chromatograph,spectrum,9
chromatograph,evaporation,1
chromatograph,matrix,0
chromatograph,purification,3
chromatograph,stirring,5
chromatograph,column chromatography,38
chromatograph,function,1
chromatograph,crystallisation,0
chromatograph,solubility,3
chromatograph,recrystallisation,0
chromatograph,mixture,38
chromatograph,spectroscopy,1
chromatograph,flash chromatography,1
chromatograph,concentration,1
chromatograph,washing,1
concentration,risk assessment,0
concentration,distillation,0
concentration,chromatography,1
concentration,extraction,0
concentration,spectrum,1
concentration,evaporation,0
concentration,matrix,0
concentration,purification,0
concentration,stirring,0
concentration,column chromatography,1
concentration,function,0
concentration,crystallisation,0
concentration,solubility,0
concentration,recrystallisation,0
concentration,mixture,1
concentration,spectroscopy,0
concentration,flash chromatography,0
concentration,chromatograph,1
concentration,washing,0
washing,risk assessment,0
washing,distillation,0
washing,chromatography,1
washing,extraction,0
washing,spectrum,0
washing,evaporation,0
washing,matrix,0
washing,purification,0
washing,stirring,0
washing,column chromatography,1
washing,function,0
washing,crystallisation,0
washing,solubility,0
washing,recrystallisation,0
washing,mixture,2
washing,spectroscopy,0
washing,flash chromatography,0
washing,chromatograph,1
washing,concentration,0
